Title,Description,Target
True Story,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.,0
The Lie,"A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",0
Notorious,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?,1
Skin,"A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves.",0
Drishyam,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",1
The Guardian,"A high school swim champion with a troubled past enrolls in the U.S. Coast Guard's ""A"" School, where legendary rescue swimmer Ben Randall teaches him some hard lessons about loss, love, and self-sacrifice.",0
To Catch a Thief,A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.,1
Death at a Funeral,Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.,1
Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",1
Jersey Girl,A widower must look after his precocious daughter and rebuild his life and career after he's sidelined by an unexpected tragedy and a personal blowup.,0
The Time Traveler's Wife,"Henry DeTamble, a librarian, possesses a unique gene that lets him involuntarily travel through time. His wife, Claire Abshire, finds it difficult to cope with it.",1
Bros,Two men with commitment problems attempt a relationship.,0
Girl You Know It's True,"Dancers Pilatus and Morvan rise to fame in the late 1980's who become stars with No.1 hits and won Grammy. The duo never sang a word in their songs and the truth was revealed, they stared as one of the biggest scandals in music history.",1
Perfect,"A female aerobics instructor meets a male reporter doing a story on health clubs, but it isn't love at first sight.",0
Gabriel's Inferno: Part One,"An intriguing exploration of seduction, forbidden love, and redemption, a captivating and passionate tale of one man's escape from his own personal hell as he tries to earn the impossible: forgiveness and love.",0
Sex Tape,"A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts.",0
Deadfall,Two siblings decide to fend for themselves in the wake of a botched casino heist and their unlikely reunion during another family's Thanksgiving celebration.,0
From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",0
Monster Hunter,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",0
Naked Fear,"Diana arrives in a town to start a new job. She's threatened into working as an exotic dancer. She's later kidnapped and let loose naked in the wilderness as prey for the psycho hunter, like many women before her. Will she survive?",0
De slag om de Schelde,"1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom.",1
Darkman,A brilliant scientist left for dead returns to exact revenge on the people who burned him alive.,0
The Good Dinosaur,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",0
The Secret of NIMH,"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she suspected.",1
The Squid and the Whale,Follows two young boys dealing with their parents' divorce in Brooklyn in the 1980s.,1
Frances Ha,"A New York woman apprentices for a dance company and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.",1
Sudden Impact,"When a woman exacts deadly revenge on the aggressors who raped her and her sister ten years earlier, Inspector ""Dirty"" Harry Callahan is assigned to the case.",0
All the President's Men,"""The Washington Post"" reportersBob WoodwardandCarl Bernsteinuncover the details of the Watergate scandal that leads to PresidentRichard Nixon's resignation.",1
Locke,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.",1
Pirate Radio,"A band of rogue DJs that captivated Britain, playing the music that defined a generation and standing up to a government that wanted classical music, and nothing else, on the airwaves.",1
The Manchurian Candidate,"In the midst of the Gulf War, soldiers are kidnapped and brainwashed for sinister purposes.",0
Hair,"Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside.",1
Elena Undone,"Fate brings two diversely different women together, and sets them on a collision course that will shatter their preconceived notions about love, life and the power of one's soul.",0
Haunt,"On Halloween, a group of friends encounter an ""extreme"" haunted house that promises to feed on their darkest fears. The night turns deadly as they come to the horrifying realization that some nightmares are real.",0
Volcano,A volcano erupts in downtown Los Angeles and a city official and a seismologist try to stop its inevitable flow through the city.,0
